time;open;high;low;close;Volume;Volume MA;RSI_1
10.11.2018 09:00;6445.85;6453.85;6431.11;6450.08;1018.653373;1929.1885076499996;45.01355388292394
10.11.2018 13:00;6450.08;6467.22;6443.52;6452.22;1750.689556;1942.3134618999993;45.50059673149768
10.11.2018 17:00;6452.22;6475.55;6443.52;6447.4;1362.315691;1882.3756098999995;44.543590665727265
10.11.2018 21:00;6447.44;6465;6431.11;6433.05;1021.006662;1803.1847768499997;41.72954710710171
11.11.2018 01:00;6435.16;6449.29;6422.1;6428.72;965.701514;1748.7538303999997;40.890116842413704
11.11.2018 05:00;6427.01;6450;6425.27;6443.67;1047.623247;1738.7780276;45.00363058010943
11.11.2018 09:00;6443.69;6448.63;6403.35;6410.01;1318.417328;1654.7380305500003;38.50620681506233
11.11.2018 13:00;6413.16;6428.21;6355;6380.89;1957.680502;1676.1062505000002;33.9408169033309
11.11.2018 17:00;6380.01;6435.42;6363.34;6421.38;1696.026162;1686.1548096500003;43.900533025792484
11.11.2018 21:00;6421.38;6462.14;6404;6449.81;1228.058364;1665.6834386000003;49.641681136612775
12.11.2018 01:00;6450.71;6497;6443;6455.25;1710.392246;1568.2399639;50.68173194589631
12.11.2018 05:00;6455.46;6464;6438;6447.29;1404.127631;1541.5236751500001;49.08429137649948
12.11.2018 09:00;6447.29;6455.14;6432.7;6439.28;1702.359436;1549.87549125;47.46310285441537
12.11.2018 13:00;6439.28;6483.93;6439.14;6452.12;2666.69575;1626.05920395;50.297041391897224
12.11.2018 17:00;6452.12;6464.01;6436;6458.64;1335.959242;1529.09491875;51.721172512810284
12.11.2018 21:00;6458.64;6461.47;6421;6453.07;1313.248262;1453.70683935;50.39277428690764
13.11.2018 01:00;6451.68;6472;6391.15;6443.01;2062.980104;1474.1545010000002;47.99513097490493
13.11.2018 05:00;6446.07;6473.63;6437.59;6460.48;1596.918907;1486.0509310500001;52.24445384580897
13.11.2018 09:00;6462.03;6469;6426.53;6443.24;1737.455992;1519.2916338500002;48.07018375584373
13.11.2018 13:00;6446.35;6472.07;6438.98;6459.5;2024.311869;1546.0310919;51.968146314773186
13.11.2018 17:00;6460.97;6498;6443.65;6461.3;2805.605999;1635.3787232;52.394154367641185
13.11.2018 21:00;6461.3;6492;6457.66;6457.66;1563.292062;1626.0088485;51.40132113758221
14.11.2018 01:00;6458.98;6474.92;6451;6472;750.084552;1595.39729155;55.01765110321315
14.11.2018 09:00;6469;6482.84;6340;6381.88;4003.120367;1744.5029768;36.590205144636805
